                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 0.7542,                0.60438,                  1.062,                0.11895,                0.07643,                0.04863,                0.01264,                 3.1738,                 4.4348,                 3.3117,             0.00061385,             0.00061385,             0.00061385
                    115,                0.71823,                0.56313,                 1.0349,                0.31322,                0.06319,                0.06226,                0.02566,                 3.2209,                 4.3635,                 3.5064,             0.00060945,             0.00060945,             0.00060945
                    116,                0.73474,                0.59888,                 1.0545,                0.20144,                0.07208,                0.05593,                0.01531,                 3.3384,                 4.7515,                 3.4912,             0.00060505,             0.00060505,             0.00060505
                    117,                0.72769,                0.58413,                 1.0487,                0.12275,                0.07623,                0.06904,                0.02225,                 3.2277,                 4.6387,                 3.4377,             0.00060065,             0.00060065,             0.00060065
                    118,                 0.7308,                 0.5803,                 1.0511,                0.35257,                0.07304,                0.08771,                0.02506,                 3.3249,                 4.7063,                 3.4823,             0.00059625,             0.00059625,             0.00059625
                    119,                0.72219,                0.58495,                 1.0485,                0.13862,                0.06319,                0.04937,                0.01982,                  2.995,                 4.9966,                 3.1818,             0.00059185,             0.00059185,             0.00059185
                    120,                0.73461,                0.59233,                 1.0604,                0.16412,                0.07623,                0.07878,                 0.0285,                 3.2782,                 4.8914,                 3.3607,             0.00058745,             0.00058745,             0.00058745
                    121,                0.75388,                0.58578,                 1.0544,                 0.1331,                 0.0578,                0.03457,                0.01611,                 3.1138,                  4.655,                 3.1878,             0.00058305,             0.00058305,             0.00058305
                    122,                0.72452,                 0.5679,                 1.0454,                0.17004,                0.07901,                0.06175,                0.02376,                 3.0278,                 4.5812,                 3.2008,             0.00057865,             0.00057865,             0.00057865
                    123,                0.72749,                0.58624,                 1.0433,                0.12741,                0.05572,                 0.0551,                0.01366,                 2.9699,                 5.0501,                 2.9961,             0.00057425,             0.00057425,             0.00057425
